Designator,Mid X,Mid Y,Rotation,Layer
_3,98.5,-65.5,0.0,top
_2,183.5,-65.5,0.0,top
,183.5,-130.5,0.0,top
100R1,147.97,-90.5,270.0,top
C1,142.3625,-84.0,90.0,top
C10,160.5,-95.04,0.0,top
C11,119.25,-113.25,0.0,top
C12,119.25,-115.5,0.0,top
C2,131.1125,-104.25,90.0,top
C3,118.75,-95.2,90.0,top
C4,121.5,-95.25,90.0,top
C5,170.04,-97.25,90.0,top
C6,97.7,-82.25,180.0,top
C7,118.5,-87.5,90.0,top
C8,150.25,-82.5,90.0,top
C9,152.75,-101.79,0.0,top
D1,127.5,-87.4,90.0,top
D2,149.0,-98.25,180.0,top
D3,156.5,-98.25,180.0,top
D4,164.0,-98.25,180.0,top
D5,179.48,-103.5,0.0,top
G1,141.0,-75.5,180.0,top
G2,183.75,-114.75,270.0,top
G3,93.59875,-98.92,270.0,top
J1,184.0,-83.77,0.0,top
J2,110.35,-108.6625,180.0,top
J3,155.5,-83.0,180.0,top
L1,111.5,-94.5,0.0,top
L2,142.0,-98.25,180.0,top
Q1,142.07,-90.5,180.0,top
Q2,142.02,-95.0,0.0,top
Q3,103.25,-86.0,90.0,top
Q4,131.5,-87.45,0.0,top
R1,137.0,-98.25,0.0,top
R10,122.5,-85.25,90.0,top
R11,127.5,-83.2,90.0,top
R12,130.5,-83.25,270.0,top
R13,183.75,-90.8,270.0,top
R14,183.75,-95.55,270.0,top
R15,183.75,-101.05,270.0,top
R16,183.8,-105.75,270.0,top
R17,183.75,-110.75,270.0,top
R18,179.8,-107.75,0.0,top
R2,124.25,-95.25,270.0,top
R3,137.0,-94.75,0.0,top
R4,118.5,-83.75,90.0,top
R5,176.0,-88.5,0.0,top
R6,97.7,-86.75,180.0,top
R7,102.75,-82.25,180.0,top
R8,106.25,-89.25,0.0,top
R9,123.5,-106.0,0.0,top
S1,163.25,-85.25,0.0,top
T1,119.7,-106.1,90.0,top
U1,130.25,-95.035,0.0,top
U2,111.5,-84.965,180.0,top
U3,115.9375,-104.4,90.0,top
