"Reference","Qty","Value","Footprint","Mfr. Part","LCSC"
"J1","1","~","connector:Pin_02x04","",""
"J2","1","SMA","connector:SMA","",""
"C8,C13,C14,C15,C16","5","1.5pF","common:C_0402","0402CG1R5C500NT","C1552"
"U1","1","NRF24L01","transceiver:NRF24L01_QFN20","NRF24L01P-R","C8791"
"Y1","1","16MHz","common:Crystal_3225","X322516MLB4SI","C13738"
"C3","1","1nF","common:C_0402","CL05B102KB5NNNC","C14442"
"U2","1","RFX2401C","transceiver:RFX2401C_QFN16","RFX2401C","C19213"
"R2","1","1M","common:R_0402","0402WGF1004TCE","C26083"
"C2","1","10nF","common:C_0402","CC0402KRX7R9BB103","C60133"
"C6","1","2.2nF","common:C_0402","CC0402KRX7R9BB222","C106861"
"C10","1","220pF","common:C_0402","CC0402JRNPO9BN221","C107001"
"L4,L5","2","2.4nH","common:L_0402","LQW15AN2N4B00D","C113113"
"C7","1","4.7pF","common:C_0402","CC0402CRNPO9BN4R7","C189469"
"C1","1","33nF","common:C_0402","0402B333K160CT","C301939"
"C11","1","1uF","common:C_0402","CL05B105KQ5NQNC","C307427"
"L1","1","8.2nH","common:L_0402","LQW15AN8N2G80D","C307610"
"C9","1","1pF","common:C_0402","CC0402BRNPO9BN1R0","C309455"
"L2","1","2.7nH","common:L_0402","LQW15AN2N7G80D","C412269"
"L3","1","3.9nH","common:L_0402","LQW15AN3N9G80D","C412279"
"C4,C5","2","12pF","common:C_0402","CC0402GRNPO9BN120","C526985"
"C12","1","0.3pF","common:C_0402","0402CG0R3B500NT","C880415"
"R3,R5","2","1k","common:R_0402","FRC0402F1001TS","C2906864"
"R4","1","20k","common:R_0402","FRC0402F2002TS","C2906867"
"R1","1","22k","common:R_0402","FRC0402F2202TS","C2909337"
